GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
project0,revature.com.utility,ConnectionUtility,38,0,4,0,14,0,4,0,2,0
project0,revature.com.utility,UtilityMethods,3,0,0,0,1,0,1,0,1,0
project0,revature.com.models,User,137,46,16,0,22,20,15,9,7,9
project0,revature.com.models,Account,158,0,14,0,36,0,21,0,14,0
project0,revature.com.models,Role,0,34,0,0,0,1,0,1,0,1
project0,revature.com.service,UserService,2,120,2,12,1,24,3,8,1,3
project0,revature.com.service,AccountService,256,0,32,0,54,0,22,0,6,0
project0,revature.com.dao,UserDao,165,3,6,0,47,1,9,1,6,1
project0,revature.com.dao,AccountDao,216,0,6,0,62,0,11,0,8,0
project0,revature.com.exceptions,UsernameAlreadyExistsException,0,4,0,0,0,2,0,1,0,1
project0,revature.com.exceptions,WrongPasswordException,0,4,0,0,0,2,0,1,0,1
project0,revature.com.exceptions,InsufficientBalanceException,4,0,0,0,2,0,1,0,1,0
project0,revature.com.exceptions,NewUserRegistrationFailedException,0,4,0,0,0,2,0,1,0,1
project0,revature.com.exceptions,UsernameNotFoundException,0,4,0,0,0,2,0,1,0,1
project0,revature.com.exceptions,InvalidAmountOfMoneyException,4,0,0,0,2,0,1,0,1,0
project0,revature.com.exceptions,NoAccountsExistException,4,0,0,0,2,0,1,0,1,0
project0,revature.com,BankingApp,430,0,32,0,133,0,21,0,4,0
